33,7493
29,9370
34,7611
26,7800
18,7449
24,8072
27,8102
25,6451
32,8005
28,9559
30,7618
21,7540
13,2042
19,7162
35,6669
20,6622
31,8279
17,9320
15,4567
9,1358
10,1594
14,2759
-5,506
6,1303
11,2265
16,8167
12,2089
23,8076
2,1110
4,1390
22,7086
1,902
-1,684
0,1473
-8,427
5,1523
-30,103
-23,85
-18,154
-6,568
-19,167
3,1124
-11,326
-4,623
-7,524
7,1390
-2,638
-48,34
-16,210
-64,21
8,1285
-46,29
-59,31
-82,6
-86,1
-37,61
-125,1
-3,563
-42,49
-12,330
-38,51
-20,167
-105,1
-89,3
-77,11
-32,60
-44,28
-53,23
-14,165
-31,77
-60,26
-27,77
-54,34
-43,42
-10,326
-51,30
-9,351
-88,3
-90,3
-83,7
-84,4
-79,7
-34,57
-21,119
-87,2
-91,2
-75,10
-17,195
-41,45
-28,78
-24,119
-25,100
-22,122
-29,92
-78,13
-76,6
-74,7
-80,5
-85,1
-71,11
-70,14
-69,19
-72,9
-47,37
-33,36
-13,249
-35,55
-50,37
-40,55
-57,20
-65,23
-56,22
-61,19
-66,20
-62,15
-67,13
-63,11
-68,11
-81,2
-55,24
-15,180
-26,79
-39,49
-52,30
-36,83
-45,28
-73,6
-49,37
-58,10
